Date;Price(EUR/Ons)
30.11.2012;866.2767
3.12.2012;855.3500
4.12.2012;845.9467
5.12.2012;846.7800
6.12.2012;843.2367
7.12.2012;857.2067
10.12.2012;867.8200
11.12.2012;864.1833
12.12.2012;866.3067
13.12.2012;853.4067
14.12.2012;851.1700
17.12.2012;841.4733
18.12.2012;845.5767
19.12.2012;829.4667
20.12.2012;824.8133
21.12.2012;812.4267
24.12.2012;815.9800
25.12.2012;817.4633
26.12.2012;816.2733
27.12.2012;809.6567
28.12.2012;812.9667
31.12.2012;812.7900
2.01.2013;823.3067
3.01.2013;834.7733
4.01.2013;823.5100
7.01.2013;828.2567
8.01.2013;825.7433
9.01.2013;837.6900
10.01.2013;842.8800
11.01.2013;835.2600
14.01.2013;837.0067
15.01.2013;849.4367
16.01.2013;847.6900
17.01.2013;849.3133
18.01.2013;850.4000
21.01.2013;848.9567
22.01.2013;852.4400
23.01.2013;855.5867
24.01.2013;849.4233
25.01.2013;840.7267
28.01.2013;835.8333
29.01.2013;834.2800
30.01.2013;833.5433
31.01.2013;830.3567
1.02.2013;824.6433
4.02.2013;832.7233
5.02.2013;839.4900
6.02.2013;846.0800
7.02.2013;844.8233
8.02.2013;849.4933
11.02.2013;846.3233
12.02.2013;837.6400
13.02.2013;843.0200
14.02.2013;849.1567
15.02.2013;835.8267
18.02.2013;831.2767
19.02.2013;833.6433
20.02.2013;820.8733
21.02.2013;809.6433
22.02.2013;813.8400
25.02.2013;815.5933
26.02.2013;819.8967
27.02.2013;826.3833
28.02.2013;816.9367
1.03.2013;810.7633
4.03.2013;815.9500
5.03.2013;815.8067
6.03.2013;817.0300
7.03.2013;821.1733
8.03.2013;814.2067
11.03.2013;821.1267
12.03.2013;821.7500
13.03.2013;822.9400
14.03.2013;823.8367
15.03.2013;820.6700
18.03.2013;825.6200
19.03.2013;826.2667
20.03.2013;826.1500
21.03.2013;831.6933
22.03.2013;830.1267
25.03.2013;822.3467
26.03.2013;827.2000
27.03.2013;831.6600
28.03.2013;833.2833
29.03.2013;834.2467
1.04.2013;832.6300
2.04.2013;833.4967
3.04.2013;821.8133
4.04.2013;806.2167
5.04.2013;801.2367
8.04.2013;804.2033
9.04.2013;802.8933
10.04.2013;799.3100
11.04.2013;792.3667
12.04.2013;789.6133
15.04.2013;736.4000
16.04.2013;723.5400
17.04.2013;719.5933
18.04.2013;728.1867
19.04.2013;726.9367
22.04.2013;736.0667
24.04.2013;735.4200
25.04.2013;745.5600
26.04.2013;758.7600
29.04.2013;762.8633
30.04.2013;766.1700
2.05.2013;749.8433
3.05.2013;764.1700
6.05.2013;764.2533
7.05.2013;756.7367
8.05.2013;754.1233
9.05.2013;760.1300
10.05.2013;760.7767
13.05.2013;755.3200
14.05.2013;760.7467
15.05.2013;758.0300
16.05.2013;743.6867
17.05.2013;743.7467
20.05.2013;732.1833
21.05.2013;736.6600
22.05.2013;741.6667
23.05.2013;741.3367
24.05.2013;736.8600
27.05.2013;737.7633
28.05.2013;735.7233
29.05.2013;738.1467
30.05.2013;743.1200
31.05.2013;742.9167
3.06.2013;742.3033
4.06.2013;740.7567
